Recipe_Id,Step,Desc
0,1,"Soak the piece of foam well in water before placing it on the tray. Keep the tray at the place where you want to set up the arrangement. Slice the foam to a very low height, in keeping with the height of your low dining-table sit-down."
0,2,"Depending on their thickness, make four equal-looking bundles of the asparagus, probably using 8 to 10 stems in each. Tie each bundle up with lemongrass and place the bundles along the base of the tray, forming a square. Then tie the four corners with lemongrass to hold the asparagus in place."
0,3,"Before using the roses, cut the stems to about 6"" to 8"" and leave them in water for about 1/2 hour so that they last longer. Here we have chosen pink and white roses."
0,4,"Place the roses first in the outer square of the sponge, alternating the white with the pink. Then, in a similar manner, fill up the whole square."
0,5,"To finish off, use the asparagus ferns to cover up any spaces where the foam is still visible."
1,1,Take a long kebab stick and tie one of the éclairs on top with the white thread.
1,2,Make a loop with the thread and tie it securely to the stick.
1,3,Take the second éclair and tie it at right angles to the first one.
1,4,Tie the third éclair opposite the second one.
1,5,Continue in the same way till you have tied a lot of éclairs on the stick.
1,6,Wrap the rest of the kebab stick with green tape.
1,7,Make many more sticks in the same way.
1,8,"Lay out the basket, roses and the éclair sticks. Use small fillers made of chocolate wrapped in cellophane and tied to toothpicks."
1,9,Stick all the green fillers into the moss and then start adding the roses one by one.
1,10,Now place the éclair sticks in between the roses and fillers.
1,11,Arrange the éclair sticks in such a way that the bouquet looks balanced.
1,12,Fill the gaps with the small chocolate fillers.
1,13,Your delicious chocolate bouquet is ready!
2,1,Start by placing a protective covering over your table. Place a cane mat in the center of the table. Take 5 roll buns and place them horizontally on a mat at an equal distance form each other.
2,2,Place a gerbera between 2 roll buns in a raised position as shown in the picture.
2,3,Add some asparagus ferns to add colour. They can be placed beneath the petals.
2,4,Cut the lavash bread into triangles of various sizes. Use raffia to tie the triangles around a round candle. Decorate 2 candles in this manner. Place the candles on oppsite corners of the mat near the bread.
2,5,Your eye-catching centerpiece is ready.
3,1,"Combine the grated mango, turmeric powder and salt and leave aside for 30 minutes. "
3,2,Squeeze out all the mango water using a muslim cloth and keep aside. Keep the grated mango aside separately.   
3,3,Soak the Kabuli chana and fenugreek seeds in the mango water overnight.  
3,4,Refrigerate the grated mango. 
3,5,"Combine the fenugreek seeds powder, fennel seeds, asafoetida, nigella seeds, whole red chillies, chilli powder and soaked Kabuli chana mixture with the grated mango. Mix well. "
3,6,Heat the mustard oil. Cool it and add to the prepared mixture. 
3,7,Bottle the pickle in a sterilised glass jar. 
3,8,The pickle is ready to eat after 3 to 4 days.
3,9,Store it a cool dry place for upto 1 year.  
4,1,"Combine the raw mango, turmeric powder and salt in a deep bowl, mix well and keep aside for 30 minutes."
4,2,Squeeze out all the water from the raw mango in a bowl and keep aside. Keep the raw mango water and grated raw mango separately.
4,3,Refrigerate the grated raw mango overnight.
4,4,"Combine the fenugreek seeds, kabuli chana and raw mango water into a deep bowl, mix well and cover and keep aside overnight."
4,5,"Combine the fenugreek seed powder, fennel seeds, asafoetida, nigella seeds, kashmiri red chillies, chilli powder along the grated raw mango and kabuli chana-fenugreek seeds mixture into a deep bowl, mix well and keep aside."
4,6,Heat the mustard oil in a deep non-stick kadhai on a medium flame for 3 to 4 minutes or till red hot.
4,7,Remove from the flame and allow it to cool.
4,8,"Once cooled, add the oil to the prepared mixture and mix well."
4,9,"Bottle the pickle in a sterilized glass jar and keep aside for 6 to 7 days. After 7 days, it is ready to eat."
5,1,"Combine the mangoes, turmeric powder and 2 tbsp of salt and toss well."
5,2,"Place the mangoes on a sieve, cover and place under the sun for 4 to 6 hours."
5,3,Combine the rest of the ingredients in a bowl and mix well.
5,4,Add the mangoes and toss well.
5,5,Bottle the pickle in a sterilised glass jar. Place the pickle under the sun for 4 to 5 days. This pickle can be stored for upto 1 year.
