Recipe_Id,Nutrient,Values
3,Energy,95 cal
3,Protein,0.5 g
3,Carbohydrates,3 g
3,Fiber,1 g
3,Fat,9.1 g
3,Cholesterol,0 mg
3,Sodium,277.7 mg
4,Energy,95 cal
4,Protein,0.5 g
4,Carbohydrates,3 g
4,Fiber,1 g
4,Fat,9.1 g
4,Cholesterol,0 mg
4,Sodium,0.8 mg
5,Energy,380 cal
5,Protein,1.3 g
5,Carbohydrates,35.5 g
5,Fiber,1.5 g
5,Fat,25.8 g
5,Cholesterol,0 mg
5,Sodium,15557.8 mg
6,Energy,89 cal
6,Protein,0.2 g
6,Carbohydrates,22.4 g
6,Fiber,0.8 g
6,Fat,0.1 g
6,Cholesterol,0 mg
6,Sodium,0.9 mg
7,Energy,237 cal
7,Protein,5.8 g
7,Carbohydrates,27.3 g
7,Fiber,4.2 g
7,Fat,11.6 g
7,Cholesterol,0 mg
7,Vitamin A,1273.8 mcg
7,Vitamin B1,0.2 mg
7,Vitamin B2,0.1 mg
7,Vitamin B3,1.1 mg
7,Vitamin C,7 mg
7,Folic Acid,36.6 mcg
7,Calcium,20.3 mg
7,Iron,1.9 mg
7,Magnesium,0 mg
7,Phosphorus,0 mg
7,Sodium,28.9 mg
7,Potassium,268.4 mg
7,Zinc,0.6 mg
8,Energy,69 cal
8,Protein,0.3 g
8,Carbohydrates,15.2 g
8,Fiber,0.1 g
8,Fat,0.8 g
8,Cholesterol,0 mg
8,Sodium,85.7 mg
9,Energy,56 cal
9,Protein,0.1 g
9,Carbohydrates,7.5 g
9,Fiber,0.3 g
9,Fat,3.1 g
9,Cholesterol,0 mg
9,Sodium,0.3 mg
10,Energy,149 cal
10,Protein,2.4 g
10,Carbohydrates,24.4 g
10,Fiber,0.3 g
10,Fat,3.4 g
10,Cholesterol,8 mg
10,Sodium,18.6 mg
12,Energy,328 cal
12,Protein,4.8 g
12,Carbohydrates,13.3 g
12,Fiber,6.4 g
12,Fat,27.6 g
12,Cholesterol,5.3 mg
12,Sodium,22.4 mg
13,Energy,272 cal
13,Protein,9.4 g
13,Carbohydrates,6.8 g
13,Fiber,0 g
13,Fat,21.9 g
13,Cholesterol,0 mg
13,Vitamin A,333.9 mcg
13,Vitamin B1,-0.5 mg
13,Vitamin B2,-0.5 mg
13,Vitamin B3,-0.5 mg
13,Vitamin C,2.1 mg
13,Folic Acid,2.8 mcg
13,Calcium,364.2 mg
13,Iron,0.1 mg
13,Magnesium,0 mg
13,Phosphorus,0 mg
13,Sodium,9.5 mg
13,Potassium,45 mg
13,Zinc,0 mg
14,Energy,295 cal
14,Protein,9.4 g
14,Carbohydrates,6.8 g
14,Fiber,0 g
14,Fat,24.4 g
14,Cholesterol,8 mg
