Recipe_Id,Ingredient_Id,quantity
0,1,
0,2,
0,3,
0,4,
2,4,
2,5,
3,6,1/2 cup
3,7,1 1/2 cups
3,8,1 tsp
3,9,1 tbsp
3,10,1 tbsp
3,11,1 tbsp
3,12,1/2 tsp
3,13,1 tsp
3,14,14
3,15,1 tbsp
3,16,1 1/4 cups
3,17,1 tbsp
4,7,1 1/2 cups
4,6,1/2 cup
4,8,1 tsp
4,17,
4,9,1 tbsp
4,10,1 tbsp
4,11,1 tbsp
4,12,1/2 tsp
4,13,1 tsp
4,14,7
4,15,1 tbsp
4,16,1 1/4 cups
5,18,5 cups
5,8,1 tsp
5,11,1/4 cup
5,19,1 tbsp
5,20,2 tbsp
5,13,1/2 tsp
5,12,1/4 tsp
5,15,2 tbsp
5,16,1/4 cup
5,17,4 tbsp
6,21,1 cup
6,22,1/3 cup
6,23,1/4 cup
6,24,1 cup
6,23,
6,24,1 1/4 cups
7,25,1 1/2 cups
7,26,
7,27,3/4 cup
7,28,1/4 cup
7,29,1/4 tsp
7,15,1/2 tsp
7,8,1/4 tsp
7,12,2
7,17,
8,30,2 cups
8,7,1/4 cup
8,22,2 cups
8,31,2 tbsp
8,32,2 tbsp
8,33,1 tsp
8,17,1/2 tsp
9,21,1 cup
9,26,2 tbsp
9,11,1/2 tsp
9,13,1/4 tsp
9,34,1 tbsp
9,15,1 tsp
9,8,1/4 tsp
9,22,1/4 cup
9,17,
10,25,1 cup
10,35,1 cup
10,36,1 tbsp
10,22,4 tbsp
10,37,4 to 5
10,23,
11,38,1 1/2 cups
11,8,1 tsp
11,17,1 tbsp
11,9,1 tbsp
11,6,1/2 cup
11,10,1 tbsp
11,11,1 tbsp
11,12,1/2 tsp
11,13,1 tsp
11,14,14
11,15,1 tbsp
11,16,1 1/4 cups
11,26,2 tbsp
11,39,1 tsp
11,40,1/2 cup
11,41,2 tsp
11,42,1 tsp
11,43,1 1/2 cups
11,44,1/2 cup
11,45,2 tsp
11,46,2 tsp
11,47,1 tbsp
11,17,
11,48,1 cup
11,45,
11,49,4 
12,50,4 cups
12,26,5 tbsp
12,11,2 tsp
12,51,1 tsp
12,13,1/2 tsp
12,9,1/4 tsp
12,12,1/4 tsp
12,52,2 tsp
12,53,3/4 cup
12,17,
12,54,1/2 cup
12,15,1 tsp
12,8,1/4 tsp
12,55,2 tsp
12,17,
12,49,
13,56,1 tbsp
13,57,1/2 cup
13,58,1 tsp
13,11,1 tsp
13,51,1/2 tsp
13,9,1/4 tsp
13,13,1/4 tsp
13,39,1 tsp
13,8,1/4 tsp
13,16,1 tbsp
13,17,
13,59,1 1/2 cups
13,26,
13,23,
14,56,1 tbsp
14,57,1/2 cup
14,58,1 tsp
14,11,1 tsp
14,51,1/2 tsp
14,9,1/4 tsp
14,13,1/4 tsp
14,39,1 tsp
14,8,1/4 tsp
14,16,1 tbsp
14,17,
14,59,1 1/2 cups
14,26,
15,60,1 1/2 cups
15,16,2 tbsp
15,39,2 tsp
15,11,1 tsp
15,9,1/4 tsp
15,13,1/4 tsp
15,51,1/4 tsp
15,40,1/2 cup
15,42,2 tsp
15,41,1 tsp
15,8,1/4 tsp
15,47,1/4 cup
15,17,
15,61,5
15,13,
15,8,
15,15,
15,26,1 tbsp
16,57,3/4 cup
16,17,
16,9,1/4 tsp
16,51,1/4 tsp
16,39,1/2 tsp
16,11,1/2 tsp
16,13,1/4 tsp
16,26,1/2 tsp
16,12,
16,47,1/4 cup
16,41,1/2 tsp
16,62,1/2 tbsp
16,63,
17,64,1 tbsp
17,15,1 tsp
17,8,1/2 tsp
17,17,
17,26,1 tsp
17,65,2 cups
17,26,
17,11,1 tsp
17,51,1 tsp
17,9,1 tsp
17,13,1 tsp
17,39,1/2 tsp
17,12,1/2 tsp
17,26,2 tbsp
17,66,1/2 cup
17,64,1 tsp
17,41,1 tsp
17,8,1/2 tsp
17,15,1/2 tsp
17,67,1/2 tsp
17,68,1/2 tsp
17,17,
17,54,3/4 cup
17,69,1/2 cup
17,47,2 tbsp
18,70,2 tbsp
18,71,1/2 cup
18,72,1 1/4 cups
18,73,2 tbsp
18,11,1 tsp
18,51,1 tsp
18,9,1 tsp
18,13,1 tsp
18,74,2
18,39,1/2 tsp
18,12,1/2 tsp
18,66,1/2 cup
18,64,1 tsp
18,8,1/2 tsp
18,15,1/2 tsp
18,46,1/2 tsp
18,17,
18,47,2 tbsp
19,59,1 cup
19,26,1 tbsp
19,11,1 tsp
19,51,1/4 tsp
19,9,1/4 tsp
19,13,1 tsp
19,39,1/2 tsp
19,12,1/2 tsp
19,66,1/2 cup
19,8,1/2 tsp
19,15,1/2 tsp
19,75,1/2 tsp
19,54,3/4 cup
19,76,1 tsp
19,47,2 tbsp
19,17,
20,59,1 1/4 cups
20,26,1 tbsp
20,51,1 tsp
20,9,1/2 tsp
20,39,1 tsp
20,13,1 tsp
20,11,1 tsp
20,8,1/4 tsp
20,15,1 tsp
20,54,1/2 cup
20,56,1 tbsp
20,17,
20,77,3 cups
20,26,1 tbsp
20,78,1 to 2
20,79,2
20,80,1/2 tsp
20,81,2
20,17,
20,47,1 tbsp
21,82,1/2 cup
21,83,1/4 cup
21,84,2 tbsp
21,85,2 tbsp
21,9,1 tsp
21,40,1/4 cup
21,12,
21,86,1 tsp
21,47,2 tbsp
21,8,1/4 tsp
21,87,1 tbsp
21,17,
21,26,3 tsp
22,88,1 cup
22,89,1/4 cup
22,90,1/4 cup
22,85,2 tbsp
22,52,1 tsp
22,91,4
22,92,4
22,39,1/2 tsp
22,40,1/4 cup
22,12,1/4 tsp
22,87,1 tbsp
22,93,2 tbsp
22,17,
22,94,
22,95,
23,77,1/2 cup
23,89,1/4 cup
23,90,1/4 cup
23,85,1/4 cup
23,14,5 to 6
23,12,
23,93,2 tbsp
23,96,1/4 cup
23,97,1/4 cup
23,40,1/2 cup
23,47,1/4 cup
23,87,1 tbsp
23,17,
23,26,3 3/4 tsp
24,98,1 tbsp
24,99,5 cups
24,62,1/2 cup
24,100,1/2 tbsp
24,17,1/2 tsp
25,101,2
25,102,1 1/2 tsp
25,103,1 tsp
25,22,1 tsp
25,104,1/2 tsp
26,59,2 cups
26,105,1 tbsp
26,106,3 tbsp
26,33,1 tbsp
26,107,1/4 cup
26,108,2 tbsp
26,109,2 tbsp
26,110,1 tsp
26,46,1 tsp
26,111,1 tsp
26,17,
26,26,
27,29,1/2 tsp
27,8,1/4 tsp
27,108,1 cup
28,29,10 to 12
28,73,1 tbsp
28,39,1/2 tsp
28,112,8 to 10
28,113,1 to 2
28,93,1/2 cup
28,35,1 cup
28,17,
29,29,20
29,26,
29,27,1 cup
29,15,1/2 tsp
29,8,1/4 tsp
29,12,2
29,26,1 tbsp
29,17,
30,29,2 tsp
30,114,2 cups
31,115,1 cup
31,29,1/2 tsp
31,26,2 tsp
31,17,
31,115,
31,73,
31,116,
32,117,1/2 cup
32,118,1/4 cup
32,22,1/4 cup
32,26,
