id,name,Wikipedia links
1,Green Asparagus,
2,Lemongrass,https://en.wikipedia.org/wiki/Lemongrass
3,Roses,https://en.wikipedia.org/wiki/Roses
4,Asparagus,https://en.wikipedia.org/wiki/Asparagus
5,Lavash,https://en.wikipedia.org/wiki/Lavash
6,Kabuli Chana (White Chick Peas),https://en.wikipedia.org/wiki/Kabuli Chana (White Chick Peas)
7,Grated Raw Mango,https://en.wikipedia.org/wiki/Grated Raw Mango
8,Turmeric Powder (Haldi),https://en.wikipedia.org/wiki/Turmeric Powder (Haldi)
9,Fenugreek (Methi) Seeds,https://en.wikipedia.org/wiki/Fenugreek (Methi) Seeds
10,Fenugreek Seeds (Methi) Powder,https://en.wikipedia.org/wiki/Fenugreek Seeds (Methi) Powder
11,Fennel Seeds (Saunf),https://en.wikipedia.org/wiki/Fennel Seeds (Saunf)
12,Asafoetida (Hing),https://en.wikipedia.org/wiki/Asafoetida (Hing)
13,Nigella Seeds (Kalonji),https://en.wikipedia.org/wiki/Nigella Seeds (Kalonji)
14,Whole Dry Kashmiri Red Chillies,https://en.wikipedia.org/wiki/Whole Dry Kashmiri Red Chillies
15,Chilli Powder,https://en.wikipedia.org/wiki/Chilli Powder
16,Mustard (Rai / Sarson) Oil,https://en.wikipedia.org/wiki/Mustard (Rai / Sarson) Oil
17,Salt,https://en.wikipedia.org/wiki/Salt
18,Raw Mangoes,https://en.wikipedia.org/wiki/Raw Mangoes
19,Split Fenugreek Seeds (Methi Na Kuria),
20,Split Mustard Seeds (Rai Na Kuria),
21,Raw Mango Cubes,https://en.wikipedia.org/wiki/Raw Mango Cubes
22,Sugar,https://en.wikipedia.org/wiki/Sugar
23,Mint Leaves (Phudina),https://en.wikipedia.org/wiki/Mint Leaves (Phudina)
24,Crushed Ice,https://en.wikipedia.org/wiki/Crushed Ice
25,Mango Cubes,https://en.wikipedia.org/wiki/Mango Cubes
26,Oil,https://en.wikipedia.org/wiki/Oil
27,Besan (Bengal Gram Flour),https://en.wikipedia.org/wiki/Besan (Bengal Gram Flour)
28,Rice Flour (Chawal Ka Atta),https://en.wikipedia.org/wiki/Rice Flour (Chawal Ka Atta)
29,Carom Seeds (Ajwain),https://en.wikipedia.org/wiki/Carom Seeds (Ajwain)
30,Chopped Raw Mango,https://en.wikipedia.org/wiki/Chopped Raw Mango
31,Sambhaar,https://en.wikipedia.org/wiki/Sambhaar
32,Peeled And Sliced Almonds,https://en.wikipedia.org/wiki/Peeled And Sliced Almonds
33,Poppy Seeds (Khus-Khus),https://en.wikipedia.org/wiki/Poppy Seeds (Khus-Khus)
34,Coriander (Dhania) Powder,https://en.wikipedia.org/wiki/Coriander (Dhania) Powder
35,Curds (Dahi),https://en.wikipedia.org/wiki/Curds (Dahi)
36,Chopped Mint Leaves (Phudina),https://en.wikipedia.org/wiki/Chopped Mint Leaves (Phudina)
37,Ice-Cubes,https://en.wikipedia.org/wiki/Ice-Cubes
38,Grated Raw Mangoes,https://en.wikipedia.org/wiki/Grated Raw Mangoes
39,Cumin Seeds (Jeera),https://en.wikipedia.org/wiki/Cumin Seeds (Jeera)
40,Chopped Onions,https://en.wikipedia.org/wiki/Chopped Onions
41,Chopped Green Chillies,https://en.wikipedia.org/wiki/Chopped Green Chillies
42,Grated Ginger (Adrak),https://en.wikipedia.org/wiki/Grated Ginger (Adrak)
43,Mashed Potatoes,https://en.wikipedia.org/wiki/Mashed Potatoes
44,Boiled Green Peas,https://en.wikipedia.org/wiki/Boiled Green Peas
45,Chaat Masala,https://en.wikipedia.org/wiki/Chaat Masala
46,Garam Masala,https://en.wikipedia.org/wiki/Garam Masala
47,Chopped Coriander (Dhania),https://en.wikipedia.org/wiki/Chopped Coriander (Dhania)
48,Onion Rings,https://en.wikipedia.org/wiki/Onion Rings
49,Rotis,https://en.wikipedia.org/wiki/Rotis
50,Sliced Ladies Finger (Bhindi),https://en.wikipedia.org/wiki/Sliced Ladies Finger (Bhindi)
51,Mustard Seeds ( Rai / Sarson),https://en.wikipedia.org/wiki/Mustard Seeds ( Rai / Sarson)
52,Chopped Ginger (Adrak),https://en.wikipedia.org/wiki/Chopped Ginger (Adrak)
53,Chopped Tomatoes,https://en.wikipedia.org/wiki/Chopped Tomatoes
54,Whisked Curds (Dahi),https://en.wikipedia.org/wiki/Whisked Curds (Dahi)
55,Coriander-Cumin Seeds (Dhania-Jeera) Powder,https://en.wikipedia.org/wiki/Coriander-Cumin Seeds (Dhania-Jeera) Powder
56,Green Chilli Pickle,https://en.wikipedia.org/wiki/Green Chilli Pickle
57,Hung Curds (Chakka Dahi),https://en.wikipedia.org/wiki/Hung Curds (Chakka Dahi)
58,Chopped Garlic (Lehsun),https://en.wikipedia.org/wiki/Chopped Garlic (Lehsun)
59,Paneer (Cottage Cheese) Cubes,https://en.wikipedia.org/wiki/Paneer (Cottage Cheese) Cubes
60,Crumbled Paneer (Cottage Cheese),https://en.wikipedia.org/wiki/Crumbled Paneer (Cottage Cheese)
61,Samosa Pattis,https://en.wikipedia.org/wiki/Samosa Pattis
62,Powdered Sugar,https://en.wikipedia.org/wiki/Powdered Sugar
63,Khakhras,https://en.wikipedia.org/wiki/Khakhras
64,Ginger-Garlic (Adrak-Lehsun) Paste,https://en.wikipedia.org/wiki/Ginger-Garlic (Adrak-Lehsun) Paste
65,"Brinjals (Baingan / Eggplant) , Cut Into 1"" Cubes",
66,Sliced Onions,https://en.wikipedia.org/wiki/Sliced Onions
67,Punjabi Garam Masala,https://en.wikipedia.org/wiki/Punjabi Garam Masala
68,Dried Mango Powder (Amchur),https://en.wikipedia.org/wiki/Dried Mango Powder (Amchur)
69,Cream,https://en.wikipedia.org/wiki/Cream
70,Aam Ka Achaar,https://en.wikipedia.org/wiki/Aam Ka Achaar
71,Boiled Kabuli Chana (White Chick Peas),https://en.wikipedia.org/wiki/Boiled Kabuli Chana (White Chick Peas)
72,Long Grained Rice (Basmati),https://en.wikipedia.org/wiki/Long Grained Rice (Basmati)
73,Ghee,https://en.wikipedia.org/wiki/Ghee
74,Black Cardamom (Badi Elaichi),https://en.wikipedia.org/wiki/Black Cardamom (Badi Elaichi)
75,Black Salt (Sanchal),https://en.wikipedia.org/wiki/Black Salt (Sanchal)
76,Plain Flour (Maida),https://en.wikipedia.org/wiki/Plain Flour (Maida)
77,Rice (Chawal),https://en.wikipedia.org/wiki/Rice (Chawal)
78,Cinnamon (Dalchini) Sticks,https://en.wikipedia.org/wiki/Cinnamon (Dalchini) Sticks
79,Cloves (Laung / Lavang),https://en.wikipedia.org/wiki/Cloves (Laung / Lavang)
80,Caraway Seeds (Shahjeera),https://en.wikipedia.org/wiki/Caraway Seeds (Shahjeera)
81,Cardamoms,https://en.wikipedia.org/wiki/Cardamoms
82,Broken Wheat (Dalia),https://en.wikipedia.org/wiki/Broken Wheat (Dalia)
83,Green Moong Dal (Split Green Gram),https://en.wikipedia.org/wiki/Green Moong Dal (Split Green Gram)
84,Masoor Dal (Split Red Lentil),https://en.wikipedia.org/wiki/Masoor Dal (Split Red Lentil)
85,Urad Dal (Split Black Lentils),https://en.wikipedia.org/wiki/Urad Dal (Split Black Lentils)
86,Ginger-Green Chilli Paste,https://en.wikipedia.org/wiki/Ginger-Green Chilli Paste
87,Chopped Curry Leaves (Kadi Patta),https://en.wikipedia.org/wiki/Chopped Curry Leaves (Kadi Patta)
88,Par-Boiled Rice (Ukda Chawal),https://en.wikipedia.org/wiki/Par-Boiled Rice (Ukda Chawal)
89,Toovar (Arhar) Dal,https://en.wikipedia.org/wiki/Toovar (Arhar) Dal
90,Chana Dal (Split Bengal Gram),https://en.wikipedia.org/wiki/Chana Dal (Split Bengal Gram)
91,Red Chillies,https://en.wikipedia.org/wiki/Red Chillies
92,Black Peppercorns (Kalimirch),https://en.wikipedia.org/wiki/Black Peppercorns (Kalimirch)
93,Grated Coconut,https://en.wikipedia.org/wiki/Grated Coconut
94,Coconut Oil,https://en.wikipedia.org/wiki/Coconut Oil
95,Coconut Chutney,https://en.wikipedia.org/wiki/Coconut Chutney
96,Grated Carrot,https://en.wikipedia.org/wiki/Grated Carrot
97,Chopped Cabbage,https://en.wikipedia.org/wiki/Chopped Cabbage
98,Ginger (Adrak) Juice,https://en.wikipedia.org/wiki/Ginger (Adrak) Juice
99,Sugarcane Juice,https://en.wikipedia.org/wiki/Sugarcane Juice
100,Lemon,https://en.wikipedia.org/wiki/Lemon
101,Vanilla Ice-Cream,https://en.wikipedia.org/wiki/Vanilla Ice-Cream
102,Instant Coffee Powder,https://en.wikipedia.org/wiki/Instant Coffee Powder
103,Brandy,https://en.wikipedia.org/wiki/Brandy
104,Cinnamon (Dalchini) Powder,https://en.wikipedia.org/wiki/Cinnamon (Dalchini) Powder
105,Melon Seeds (Charmagaz),https://en.wikipedia.org/wiki/Melon Seeds (Charmagaz)
106,Cashewnuts (Kaju),https://en.wikipedia.org/wiki/Cashewnuts (Kaju)
107,Fresh Cream,https://en.wikipedia.org/wiki/Fresh Cream
108,Milk,https://en.wikipedia.org/wiki/Milk
109,Butter,https://en.wikipedia.org/wiki/Butter
110,White Pepper Powder,https://en.wikipedia.org/wiki/White Pepper Powder
111,Green Chilli Paste,https://en.wikipedia.org/wiki/Green Chilli Paste
112,Peppercorns (Kalimirch),https://en.wikipedia.org/wiki/Peppercorns (Kalimirch)
113,Green Chillies,https://en.wikipedia.org/wiki/Green Chillies
114,Water,https://en.wikipedia.org/wiki/Water
115,Whole Wheat Flour (Gehun Ka Atta),https://en.wikipedia.org/wiki/Whole Wheat Flour (Gehun Ka Atta)
116,Curd,https://en.wikipedia.org/wiki/Curd
117,Walnuts (Akhrot),https://en.wikipedia.org/wiki/Walnuts (Akhrot)
118,Powdered Cashewnuts (Kaju),https://en.wikipedia.org/wiki/Powdered Cashewnuts (Kaju)
119,Grated Dark Chocolate,https://en.wikipedia.org/wiki/Grated Dark Chocolate
120,"Walnuts (Akhrot),","https://en.wikipedia.org/wiki/Walnuts (Akhrot),"
121,Powdered Walnuts (Akhrot),https://en.wikipedia.org/wiki/Powdered Walnuts (Akhrot)
122,Broken Cashewnuts (Kaju),https://en.wikipedia.org/wiki/Broken Cashewnuts (Kaju)
123,Pistachio Slivers,https://en.wikipedia.org/wiki/Pistachio Slivers
124,Crushed Cumin Seeds (Jeera),https://en.wikipedia.org/wiki/Crushed Cumin Seeds (Jeera)
125,Boiled Chawli (Cow Pea / Lobhia),https://en.wikipedia.org/wiki/Boiled Chawli (Cow Pea / Lobhia)
126,Ginger (Adrak) Paste,https://en.wikipedia.org/wiki/Ginger (Adrak) Paste
127,Garlic (Lehsun) Paste,https://en.wikipedia.org/wiki/Garlic (Lehsun) Paste
128,Alfalfa Sprouts,https://en.wikipedia.org/wiki/Alfalfa Sprouts
129,Whole Wheat Footlong Bread,https://en.wikipedia.org/wiki/Whole Wheat Footlong Bread
130,Yellow Capsicum,https://en.wikipedia.org/wiki/Yellow Capsicum
131,Red Capsicum,https://en.wikipedia.org/wiki/Red Capsicum
132,Capsicum,https://en.wikipedia.org/wiki/Capsicum
133,Olive Oil,https://en.wikipedia.org/wiki/Olive Oil
134,Tomato Slices,https://en.wikipedia.org/wiki/Tomato Slices
