id,name,hind_name,wikipedia_links
1,Asparagus ,,https://en.wikipedia.org/wiki/Asparagus 
2,Lemongrass ,,https://en.wikipedia.org/wiki/Lemongrass 
3,Roses ,,https://en.wikipedia.org/wiki/Roses 
4,Lavash ,,https://en.wikipedia.org/wiki/Lavash 
5,Chick Peas ,Kabuli Chana,https://en.wikipedia.org/wiki/Chick peas 
6,Mango ,,https://en.wikipedia.org/wiki/Mango 
7,Turmeric ,Haldi,https://en.wikipedia.org/wiki/Turmeric 
8,Fenugreek ,Methi,https://en.wikipedia.org/wiki/Fenugreek 
9,Fennel ,Saunf,https://en.wikipedia.org/wiki/Fennel 
10,Asafoetida ,Hing,https://en.wikipedia.org/wiki/Asafoetida 
11,Nigella ,Kalonji,https://en.wikipedia.org/wiki/Nigella 
12,Kashmiri Chillies ,, 
13,Chilli ,,https://en.wikipedia.org/wiki/Chilli 
14,Mustard Oil ,Rai / Sarson,https://en.wikipedia.org/wiki/Mustard oil 
15,Salt ,,https://en.wikipedia.org/wiki/Salt 
17,Mustard ,Rai Na Kuria,https://en.wikipedia.org/wiki/Mustard 
18,Sugar ,,https://en.wikipedia.org/wiki/Sugar 
19,Mint ,Phudina,https://en.wikipedia.org/wiki/Mint 
20,Ice ,,https://en.wikipedia.org/wiki/Ice 
21,Oil ,,https://en.wikipedia.org/wiki/Oil 
22,Bengal Gram Flour ,Besan, 
23,Rice Flour ,Chawal Ka Atta,https://en.wikipedia.org/wiki/Rice flour 
24,Carom ,Ajwain,https://en.wikipedia.org/wiki/Carom 
25,Sambhaar ,, 
26,Almonds ,,https://en.wikipedia.org/wiki/Almonds 
27,Poppy ,Khus-Khus,https://en.wikipedia.org/wiki/Poppy 
28,Coriander ,Dhania,https://en.wikipedia.org/wiki/Coriander 
29,Curds ,Dahi,https://en.wikipedia.org/wiki/Curds 
30,Ice-Cubes ,,https://en.wikipedia.org/wiki/Ice-cubes 
31,Cumin ,Jeera,https://en.wikipedia.org/wiki/Cumin 
32,Onions ,,https://en.wikipedia.org/wiki/Onions 
33,Chillies ,,https://en.wikipedia.org/wiki/Chillies 
34,Ginger ,Adrak,https://en.wikipedia.org/wiki/Ginger 
35,Potatoes ,,https://en.wikipedia.org/wiki/Potatoes 
36,Peas ,,https://en.wikipedia.org/wiki/Peas 
37,Chaat Masala ,,https://en.wikipedia.org/wiki/Chaat masala 
38,Garam Masala ,,https://en.wikipedia.org/wiki/Garam masala 
39,Onion ,,https://en.wikipedia.org/wiki/Onion 
40,Rotis ,,https://en.wikipedia.org/wiki/Rotis 
41,Ladies Finger ,Bhindi, 
42,Tomatoes ,,https://en.wikipedia.org/wiki/Tomatoes 
43,Coriander-Cumin ,Dhania-Jeera, 
44,Chilli Pickle ,, 
45,Garlic ,Lehsun,https://en.wikipedia.org/wiki/Garlic 
46,Cottage Cheese ,Paneer,https://en.wikipedia.org/wiki/Cottage cheese 
47,Samosa ,,https://en.wikipedia.org/wiki/Samosa 
48,Khakhras ,, 
49,Ginger-Garlic ,Adrak-Lehsun, 
50,Brinjals ,Baingan / Eggplant,https://en.wikipedia.org/wiki/Brinjals 
51,Cream ,,https://en.wikipedia.org/wiki/Cream 
52,Aam Ka Achaar ,, 
53,Rice ,Basmati,https://en.wikipedia.org/wiki/Rice 
54,Ghee ,,https://en.wikipedia.org/wiki/Ghee 
55,Cardamom ,Badi Elaichi,https://en.wikipedia.org/wiki/Cardamom 
56,Flour ,Maida,https://en.wikipedia.org/wiki/Flour 
57,Cinnamon ,Dalchini,https://en.wikipedia.org/wiki/Cinnamon 
58,Cloves ,Laung / Lavang,https://en.wikipedia.org/wiki/Cloves 
59,Caraway ,Shahjeera,https://en.wikipedia.org/wiki/Caraway 
60,Wheat ,Dalia,https://en.wikipedia.org/wiki/Wheat 
61,Gram ,Moong Dal,https://en.wikipedia.org/wiki/Gram 
62,Lentil ,Masoor Dal,https://en.wikipedia.org/wiki/Lentil 
63,Lentils ,Urad Dal,https://en.wikipedia.org/wiki/Lentils 
64,Ginger-Green Chilli ,, 
65,Curry ,Kadi Patta,https://en.wikipedia.org/wiki/Curry 
66,Toovar Dal ,Arhar,https://en.wikipedia.org/wiki/Toovar dal 
67,Bengal Gram ,Chana Dal,https://en.wikipedia.org/wiki/Bengal gram 
68,Peppercorns ,Kalimirch,https://en.wikipedia.org/wiki/Peppercorns 
69,Coconut ,,https://en.wikipedia.org/wiki/Coconut 
70,Coconut Oil ,,https://en.wikipedia.org/wiki/Coconut oil 
71,Coconut Chutney ,,https://en.wikipedia.org/wiki/Coconut chutney 
72,Carrot ,,https://en.wikipedia.org/wiki/Carrot 
73,Cabbage ,,https://en.wikipedia.org/wiki/Cabbage 
74,Sugarcane ,,https://en.wikipedia.org/wiki/Sugarcane 
75,Lemon ,,https://en.wikipedia.org/wiki/Lemon 
76,Vanilla Ice-Cream ,, 
77,Coffee ,,https://en.wikipedia.org/wiki/Coffee 
78,Brandy ,,https://en.wikipedia.org/wiki/Brandy 
79,Melon ,Charmagaz,https://en.wikipedia.org/wiki/Melon 
80,Cashewnut ,Kaju,https://en.wikipedia.org/wiki/Cashewnut 
81,Milk ,,https://en.wikipedia.org/wiki/Milk 
82,Butter ,,https://en.wikipedia.org/wiki/Butter 
83,Pepper ,,https://en.wikipedia.org/wiki/Pepper 
84,Water ,,https://en.wikipedia.org/wiki/Water 
85,Wheat Flour ,Gehun Ka Atta,https://en.wikipedia.org/wiki/Wheat flour 
86,Curd ,,https://en.wikipedia.org/wiki/Curd 
87,Walnuts ,Akhrot,https://en.wikipedia.org/wiki/Walnuts 
88,Chocolate ,,https://en.wikipedia.org/wiki/Chocolate 
89,Pistachio ,,https://en.wikipedia.org/wiki/Pistachio 
90,Cowpea ,Chawli,https://en.wikipedia.org/wiki/Cowpea 
91,Alfalfa ,,https://en.wikipedia.org/wiki/Alfalfa 
92,Wheat Bread ,,https://en.wikipedia.org/wiki/Wheat bread 
93,Capsicum ,,https://en.wikipedia.org/wiki/Capsicum 
94,Olive Oil ,,https://en.wikipedia.org/wiki/Olive oil 
95,Tomato ,,https://en.wikipedia.org/wiki/Tomato 
96,Olives ,,https://en.wikipedia.org/wiki/Olives 
97,Oregano ,,https://en.wikipedia.org/wiki/Oregano 
98,Cheese ,,https://en.wikipedia.org/wiki/Cheese 
99,Vinegar ,,https://en.wikipedia.org/wiki/Vinegar 
100,Mayonnaise ,,https://en.wikipedia.org/wiki/Mayonnaise 
101,Basil ,,https://en.wikipedia.org/wiki/Basil 
102,Lettuce ,,https://en.wikipedia.org/wiki/Lettuce 
103,Cress ,,https://en.wikipedia.org/wiki/Cress 
104,Orange ,,https://en.wikipedia.org/wiki/Orange 
105,Pineapple ,,https://en.wikipedia.org/wiki/Pineapple 
106,Lemonade ,,https://en.wikipedia.org/wiki/Lemonade 
107,Drumsticks ,,https://en.wikipedia.org/wiki/Drumsticks 
108,Baby Corn ,,https://en.wikipedia.org/wiki/Baby corn 
109,Yam ,Suran,https://en.wikipedia.org/wiki/Yam 
110,Almond Bread ,,https://en.wikipedia.org/wiki/Almond bread 
111,Avocado ,,https://en.wikipedia.org/wiki/Avocado 
112,Apples ,,https://en.wikipedia.org/wiki/Apples 
