recipe_id,ingredient_id,quantity
1,1,
1,2,
1,3,
1,4,
3,4,
3,5,
4,6,1/2 cup
4,7,1 1/2 cups
4,8,1 tsp
4,9,1 tbsp
4,10,1 tbsp
4,11,1 tbsp
4,12,1/2 tsp
4,13,1 tsp
4,14,14
4,15,1 tbsp
4,16,1 1/4 cups
4,17,1 tbsp
5,7,1 1/2 cups
5,6,1/2 cup
5,8,1 tsp
5,17,
5,9,1 tbsp
5,10,1 tbsp
5,11,1 tbsp
5,12,1/2 tsp
5,13,1 tsp
5,14,7
5,15,1 tbsp
5,16,1 1/4 cups
6,18,5 cups
6,8,1 tsp
6,11,1/4 cup
6,19,1 tbsp
6,20,2 tbsp
6,13,1/2 tsp
6,12,1/4 tsp
6,15,2 tbsp
6,16,1/4 cup
6,17,4 tbsp
7,21,1 cup
7,22,1/3 cup
7,23,1/4 cup
7,24,1 cup
7,23,
7,24,1 1/4 cups
8,25,1 1/2 cups
8,26,
8,27,3/4 cup
8,28,1/4 cup
8,29,1/4 tsp
8,15,1/2 tsp
8,8,1/4 tsp
8,12,2
8,17,
9,30,2 cups
9,7,1/4 cup
9,22,2 cups
9,31,2 tbsp
9,32,2 tbsp
9,33,1 tsp
9,17,1/2 tsp
10,21,1 cup
10,26,2 tbsp
10,11,1/2 tsp
10,13,1/4 tsp
10,34,1 tbsp
10,15,1 tsp
10,8,1/4 tsp
10,22,1/4 cup
10,17,
11,25,1 cup
11,35,1 cup
11,36,1 tbsp
11,22,4 tbsp
11,37,4 to 5
11,23,
12,38,1 1/2 cups
12,8,1 tsp
12,17,1 tbsp
12,9,1 tbsp
12,6,1/2 cup
12,10,1 tbsp
12,11,1 tbsp
12,12,1/2 tsp
12,13,1 tsp
12,14,14
12,15,1 tbsp
12,16,1 1/4 cups
12,26,2 tbsp
12,39,1 tsp
12,40,1/2 cup
12,41,2 tsp
12,42,1 tsp
12,43,1 1/2 cups
12,44,1/2 cup
12,45,2 tsp
12,46,2 tsp
12,47,1 tbsp
12,17,
12,48,1 cup
12,45,
12,49,4
13,50,4 cups
13,26,5 tbsp
13,11,2 tsp
13,51,1 tsp
13,13,1/2 tsp
13,9,1/4 tsp
13,12,1/4 tsp
13,52,2 tsp
13,53,3/4 cup
13,17,
13,54,1/2 cup
13,15,1 tsp
13,8,1/4 tsp
13,55,2 tsp
13,17,
13,49,
14,56,1 tbsp
14,57,1/2 cup
14,58,1 tsp
14,11,1 tsp
14,51,1/2 tsp
14,9,1/4 tsp
14,13,1/4 tsp
14,39,1 tsp
14,8,1/4 tsp
14,16,1 tbsp
14,17,
14,59,1 1/2 cups
14,26,
14,23,
15,56,1 tbsp
15,57,1/2 cup
15,58,1 tsp
15,11,1 tsp
15,51,1/2 tsp
15,9,1/4 tsp
15,13,1/4 tsp
15,39,1 tsp
15,8,1/4 tsp
15,16,1 tbsp
15,17,
15,59,1 1/2 cups
15,26,
16,60,1 1/2 cups
16,16,2 tbsp
16,39,2 tsp
16,11,1 tsp
16,9,1/4 tsp
16,13,1/4 tsp
16,51,1/4 tsp
16,40,1/2 cup
16,42,2 tsp
16,41,1 tsp
16,8,1/4 tsp
16,47,1/4 cup
16,17,
16,61,5
16,13,
16,8,
16,15,
16,26,1 tbsp
17,57,3/4 cup
17,17,
17,9,1/4 tsp
17,51,1/4 tsp
17,39,1/2 tsp
17,11,1/2 tsp
17,13,1/4 tsp
17,26,1/2 tsp
17,12,
17,47,1/4 cup
17,41,1/2 tsp
17,62,1/2 tbsp
17,63,
18,64,1 tbsp
18,15,1 tsp
18,8,1/2 tsp
18,17,
18,26,1 tsp
18,65,2 cups
18,26,
18,11,1 tsp
18,51,1 tsp
18,9,1 tsp
18,13,1 tsp
18,39,1/2 tsp
18,12,1/2 tsp
18,26,2 tbsp
18,66,1/2 cup
18,64,1 tsp
18,41,1 tsp
18,8,1/2 tsp
18,15,1/2 tsp
18,67,1/2 tsp
18,68,1/2 tsp
18,17,
18,54,3/4 cup
18,69,1/2 cup
18,47,2 tbsp
19,70,2 tbsp
19,71,1/2 cup
19,72,1 1/4 cups
19,73,2 tbsp
19,11,1 tsp
19,51,1 tsp
19,9,1 tsp
19,13,1 tsp
19,74,2
19,39,1/2 tsp
19,12,1/2 tsp
19,66,1/2 cup
19,64,1 tsp
19,8,1/2 tsp
19,15,1/2 tsp
19,46,1/2 tsp
19,17,
19,47,2 tbsp
20,59,1 cup
20,26,1 tbsp
20,11,1 tsp
20,51,1/4 tsp
20,9,1/4 tsp
20,13,1 tsp
20,39,1/2 tsp
20,12,1/2 tsp
20,66,1/2 cup
20,8,1/2 tsp
20,15,1/2 tsp
20,75,1/2 tsp
20,54,3/4 cup
20,76,1 tsp
20,47,2 tbsp
20,17,
21,59,1 1/4 cups
21,26,1 tbsp
21,51,1 tsp
21,9,1/2 tsp
21,39,1 tsp
21,13,1 tsp
21,11,1 tsp
21,8,1/4 tsp
21,15,1 tsp
21,54,1/2 cup
21,56,1 tbsp
21,17,
21,77,3 cups
21,26,1 tbsp
21,78,1 to 2
21,79,2
21,80,1/2 tsp
21,81,2
21,17,
21,47,1 tbsp
22,82,1/2 cup
22,83,1/4 cup
22,84,2 tbsp
22,85,2 tbsp
22,9,1 tsp
22,40,1/4 cup
22,12,
22,86,1 tsp
22,47,2 tbsp
22,8,1/4 tsp
22,87,1 tbsp
22,17,
22,26,3 tsp
23,88,1 cup
23,89,1/4 cup
23,90,1/4 cup
23,85,2 tbsp
23,52,1 tsp
23,91,4
23,92,4
23,39,1/2 tsp
23,40,1/4 cup
23,12,1/4 tsp
23,87,1 tbsp
23,93,2 tbsp
23,17,
23,94,
23,95,
24,77,1/2 cup
24,89,1/4 cup
24,90,1/4 cup
24,85,1/4 cup
24,14,5 to 6
24,12,
24,93,2 tbsp
24,96,1/4 cup
24,97,1/4 cup
24,40,1/2 cup
24,47,1/4 cup
24,87,1 tbsp
24,17,
24,26,3 3/4 tsp
25,98,1 tbsp
25,99,5 cups
25,62,1/2 cup
25,100,1/2 tbsp
25,17,1/2 tsp
26,101,2
26,102,1 1/2 tsp
26,103,1 tsp
26,22,1 tsp
26,104,1/2 tsp
27,59,2 cups
27,105,1 tbsp
27,106,3 tbsp
27,33,1 tbsp
27,107,1/4 cup
27,108,2 tbsp
27,109,2 tbsp
27,110,1 tsp
27,46,1 tsp
27,111,1 tsp
27,17,
27,26,
28,29,1/2 tsp
28,8,1/4 tsp
28,108,1 cup
29,29,10 to 12
29,73,1 tbsp
29,39,1/2 tsp
29,112,8 to 10
29,113,1 to 2
29,93,1/2 cup
29,35,1 cup
29,17,
30,29,20
30,26,
30,27,1 cup
30,15,1/2 tsp
30,8,1/4 tsp
30,12,2
30,26,1 tbsp
30,17,
31,29,2 tsp
31,114,2 cups
32,115,1 cup
32,29,1/2 tsp
32,26,2 tsp
32,17,
32,115,
32,73,
32,116,
33,117,1/2 cup
33,118,1/4 cup
33,22,1/4 cup
33,26,
33,119,1/2 cup
33,107,1/4 cup
33,120,5
34,121,1 cup
34,122,1/4 cup
34,73,1 tbsp
34,22,1/4 cup
34,123,1 tbsp
35,28,1 1/2 cups
35,40,1/2 cup
35,96,1/2 cup
35,47,1/4 cup
35,52,1 tsp
35,41,2 tsp
35,124,1 tsp
35,93,5 tbsp
35,17,
35,26,4 1/2 tsp
36,125,1 1/2 cups
36,115,1 1/2 tbsp
36,40,1/4 cup
36,47,2 tbsp
36,39,1/2 tsp
36,15,1/4 tsp
36,8,1/4 tsp
36,126,1/2 tsp
36,127,1/2 tsp
36,17,
36,26,2 tsp
37,128,6 tbsp
37,129,1
37,130,1
37,131,1
37,132,1
37,133,2 1/4 tsp
37,17,
37,134,12
37,135,2 tbsp
37,136,1 tsp
37,17,
37,137,1 tsp
37,138,2 tbsp
37,139,1 1/2 tbsp
37,133,1/2 tbsp
37,62,2 tsp
37,17,
38,140,1/2 cup
38,141,4 tbsp
38,53,4 tbsp
38,128,4 tbsp
38,17,
38,142,8
38,109,2 tbsp
38,143,4
39,115,1 cup
39,144,1 1/2 tbsp
39,17,
39,26,1 tsp
39,145,1/2 cup
39,146,1/2 cup
39,147,1/2 cup
39,148,1/2 cup
39,47,1/4 cup
39,149,1/2 cup
39,15,1 tsp
39,17,
39,115,
39,26,2 1/2 tsp
40,150,3/4 cup
40,151,3/4 cup
40,152,1 1/2 cups
41,131,1 to 2
41,153,2 to 3
41,154,3
41,155,
42,156,8
42,157,24
42,133,1 tsp
42,133,2 tsp
42,158,1/4 tsp
43,76,1 3/4 cups
43,17,
43,109,3/4 cup
43,62,1 tbsp
43,159,1/2 cup
43,160,1 1/4 cups
43,161,1/2 tsp
43,22,2 tbsp
43,162,6 tbsp
43,163,2 tbsp
43,164,
44,165,4 tbsp
44,166,1 cup
44,108,1 1/2 cups
44,22,2 tbsp
44,167,1/2 tsp
44,37,8
45,168,1 cup
45,158,1/4 tsp
45,94,1/4 cup
45,169,3 tbsp
45,170,1 tsp
45,93,1/2 cup
45,171,1/2 cup
45,172,1/2 cup
45,173,1/4 cup
45,174,1/4 cup
45,94,
46,168,1 cup
46,73,2 tsp
46,17,
46,73,
47,175,1/2 cup
47,176,3 cups
47,73,2 tbsp
47,79,2
47,81,2
47,177,25 mm
47,178,1
47,80,1 tsp
47,40,1/2 cup
47,58,1 tsp
47,179,1/2 cup
47,44,1/2 cup
47,41,1 tsp
47,180,1 tbsp
47,161,1 tbsp
47,181,1/4 cup
47,182,1 tbsp
48,183,5 tbsp
48,168,1/2 cup
48,76,1 1/2 cups
48,184,2 tsp
48,104,1 tsp
48,185,1/2 cup
48,186,3
48,167,1 tsp
48,26,
49,173,1/4 cup
49,76,1 cup
49,184,1/2 tsp
49,167,1 tsp
49,62,1/4 cup
49,109,1/4 cup
49,108,2 1/2 tbsp
50,159,1/2 cup
50,173,1/4 cup
50,76,1 1/2 cups
50,187,5 tbsp
50,62,1/2 cup
50,167,1/4 tsp
50,108,1/4 cup
51,168,1 1/4 cups
51,188,1/2 cup
51,189,4 tbsp
51,190,2 tsp
51,17,1 tsp
51,184,1 tsp
52,191,1 cup
52,192,1 cup
52,193,1 3/4 cups
52,194,1/2 tsp
52,17,1/4 tsp
52,167,1 tsp
52,169,1/4 cup
52,195,1 cup
53,196,12
53,62,1 tbsp
53,197,1 tbsp
53,114,1/4 cup
53,164,3/4 cup
53,62,2 1/2 tbsp
53,197,1 tsp
53,167,
53,198,2 tbsp
53,173,2 tbsp
54,168,1 cup
54,186,4
54,199,1/4 cup
54,200,1 tbsp
54,158,1/2 tsp
54,201,1/2 tsp
54,169,2 tsp
54,202,1/2 tsp
54,109,
55,168,20
55,203,1 tsp
55,177,1
55,167,1/4 tsp
56,204,1/4 cup
56,205,1/4 cup
56,206,1/4 cup
56,207,1/4 cup
56,208,1 1/2 tbsp
56,108,1 cup
56,22,2 tbsp
56,69,1 tbsp
56,167,1/4 tsp
56,209,
56,210,1 tbsp
57,168,20
57,114,3/4 cup
58,168,3/4 cup
58,108,5 cups
58,22,1/2 cup
58,211,1/2 tsp
58,212,1 tsp
58,213,1 tsp
59,159,1/3 cup
59,105,2 tbsp
59,33,2 tbsp
59,211,1/4 tsp
59,22,1/2 cup
59,26,
60,214,1/2 cup
60,22,1/2 cup
60,167,1/2 tsp
60,26,
61,22,1 cup
61,106,3/4 cup
61,26,
61,215, 
61,216, 
61,217, 
61,218,1
61,219,1/2 cup
61,220,1 1/2 cups
61,100,
61,209,
61,221, 
61,222,1/4 cup
61,223,6
61,224,
61,225, 
61,226, 
62,168,1/4 cup
62,227,1/4 cup
62,108,1/4 cup
63,168,1/4 cup
63,227,1/4 cup
63,108,1/4 cup
64,168,1 cup
64,108,1 cup
64,73,1 tbsp
64,22,1/2 cup
64,211,1/2 tsp
64,228,
64,173,2 tbsp
65,168,20
65,229,3 cups
65,109,2 tsp
65,76,1 tbsp
65,209,3 to 4
65,17,
65,107,2 tbsp
65,173,2 tbsp
66,76,2 1/2 cups
66,109,1 1/2 cups
66,230,1 cup
66,167,2 tsp
66,168,4 tbsp
66,204,1 cup
66,164,1 1/2 cups
66,230,
66,231,2
66,231,1 recipe
67,232,1/4 cup
67,159,1/2 cup
67,233,1/3 cup
67,73,1 tsp
67,73,1/2 tsp
67,232,1/4 cup
67,168,1/2 cup
67,233,1/3 cup
67,73,1 tsp
67,73,1/2 tsp
68,26,2 tsp
68,234,1
68,42,2 tsp
68,235,2 tsp
68,236,1/2 cup
68,237,1/2 cup
68,238,1/2 cup
68,239,1/2 cup
68,240,1/2 cup
68,241,1/2 cup
68,242,1/2 cup
68,243,1/2 cup
68,244,1/4 cup
68,245,1 cup
68,17,
68,246,2 tsp
68,247,1/4 cup
68,248,3 cups
69,249,1 cup
69,44,1/4 cup
69,26,1 tbsp
69,41,1 tsp
69,45,1 tsp
69,100,1 tsp
69,17,
69,47,1 tbsp
70,250,1 cup
70,251,1 cup
70,35,3/4 cup
70,252,2 tbsp
70,17,
70,26,1 tbsp
70,39,1 tsp
