,0,1,2,3,4
0,0,1,Asparagus , ,https://en.wikipedia.org/wiki/Asparagus 
1,1,2,Lemongrass , ,https://en.wikipedia.org/wiki/Lemongrass 
2,2,3,Roses , ,https://en.wikipedia.org/wiki/Roses 
3,3,6,Lavash , ,https://en.wikipedia.org/wiki/Lavash 
4,4,7,Chick Peas ,Kabuli Chana ,https://en.wikipedia.org/wiki/Chick peas 
5,5,8,Mango , ,https://en.wikipedia.org/wiki/Mango 
6,6,9,Turmeric ,Haldi,https://en.wikipedia.org/wiki/Turmeric 
7,7,10,Fenugreek ,Methi,https://en.wikipedia.org/wiki/Fenugreek 
8,8,12,Fennel ,Saunf,https://en.wikipedia.org/wiki/Fennel 
9,9,13,Asafoetida ,Hing,https://en.wikipedia.org/wiki/Asafoetida 
10,10,14,Nigella ,Kalonji,https://en.wikipedia.org/wiki/Nigella 
11,11,15,Kashmiri Chillies , ,https://en.wikipedia.org/wiki/Kashmiri chillies 
12,12,16,Chilli , ,https://en.wikipedia.org/wiki/Chilli 
13,13,17,Mustard Oil ,Rai / Sarson,https://en.wikipedia.org/wiki/Mustard oil 
14,14,18,Salt , ,https://en.wikipedia.org/wiki/Salt 
15,15,31,Mango, ,https://en.wikipedia.org/wiki/Mango
16,16,35,Mustard ,Rai Na Kuria,https://en.wikipedia.org/wiki/Mustard 
17,17,42,Sugar , ,https://en.wikipedia.org/wiki/Sugar 
18,18,43,Mint ,Phudina,https://en.wikipedia.org/wiki/Mint 
19,19,44,Ice , ,https://en.wikipedia.org/wiki/Ice 
20,20,48,Oil , ,https://en.wikipedia.org/wiki/Oil 
21,21,49,Bengal Gram Flour ,Besan ,https://en.wikipedia.org/wiki/Bengal gram flour 
22,22,50,Rice Flour ,Chawal Ka Atta,https://en.wikipedia.org/wiki/Rice flour 
23,23,51,Carom ,Ajwain,https://en.wikipedia.org/wiki/Carom 
24,24,59,Sambhaar , ,https://en.wikipedia.org/wiki/Sambhaar 
25,25,60,Almonds , ,https://en.wikipedia.org/wiki/Almonds 
26,26,61,Poppy ,Khus-Khus,https://en.wikipedia.org/wiki/Poppy 
27,27,67,Coriander ,Dhania,https://en.wikipedia.org/wiki/Coriander 
28,28,73,Curds ,Dahi,https://en.wikipedia.org/wiki/Curds 
29,29,76,Ice-Cubes , ,https://en.wikipedia.org/wiki/Ice-cubes 
30,30,91,Cumin ,Jeera,https://en.wikipedia.org/wiki/Cumin 
31,31,92,Onions , ,https://en.wikipedia.org/wiki/Onions 
32,32,93,Chillies , ,https://en.wikipedia.org/wiki/Chillies 
33,33,94,Ginger ,Adrak,https://en.wikipedia.org/wiki/Ginger 
34,34,95,Potatoes , ,https://en.wikipedia.org/wiki/Potatoes 
35,35,96,Peas , ,https://en.wikipedia.org/wiki/Peas 
36,36,97,Chaat Masala , ,https://en.wikipedia.org/wiki/Chaat masala 
37,37,98,Garam Masala , ,https://en.wikipedia.org/wiki/Garam masala 
38,38,101,Onion , ,https://en.wikipedia.org/wiki/Onion 
39,39,103,Rotis , ,https://en.wikipedia.org/wiki/Rotis 
40,40,104,Ladies Finger ,Bhindi,https://en.wikipedia.org/wiki/Ladies finger 
41,41,112,Tomatoes , ,https://en.wikipedia.org/wiki/Tomatoes 
42,42,117,Coriander-Cumin ,Dhania-Jeera,https://en.wikipedia.org/wiki/Coriander-cumin 
43,43,120,Chilli Pickle , ,https://en.wikipedia.org/wiki/Chilli pickle 
44,44,122,Garlic ,Lehsun,https://en.wikipedia.org/wiki/Garlic 
45,45,131,Cottage Cheese ,Paneer ,https://en.wikipedia.org/wiki/Cottage cheese 
46,46,160,Samosa , ,https://en.wikipedia.org/wiki/Samosa 
47,47,177,Khakhras , ,https://en.wikipedia.org/wiki/Khakhras 
48,48,178,Ginger-Garlic ,Adrak-Lehsun,https://en.wikipedia.org/wiki/Ginger-garlic 
49,49,183,Brinjals ,Baingan / Eggplant,https://en.wikipedia.org/wiki/Brinjals 
50,50,201,Cream , ,https://en.wikipedia.org/wiki/Cream 
51,51,203,Aam Ka Achaar , ,https://en.wikipedia.org/wiki/Aam ka achaar 
52,52,205,Rice ,Basmati,https://en.wikipedia.org/wiki/Rice 
53,53,206,Ghee , ,https://en.wikipedia.org/wiki/Ghee 
54,54,211,Cardamom ,Badi Elaichi,https://en.wikipedia.org/wiki/Cardamom 
55,55,234,Flour ,Maida,https://en.wikipedia.org/wiki/Flour 
56,56,251,Cinnamon ,Dalchini,https://en.wikipedia.org/wiki/Cinnamon 
57,57,252,Cloves ,Laung / Lavang,https://en.wikipedia.org/wiki/Cloves 
58,58,253,Caraway ,Shahjeera,https://en.wikipedia.org/wiki/Caraway 
59,59,257,Wheat ,Dalia,https://en.wikipedia.org/wiki/Wheat 
60,60,258,Gram ,Moong Dal ,https://en.wikipedia.org/wiki/Gram 
61,61,259,Lentil ,Masoor Dal ,https://en.wikipedia.org/wiki/Lentil 
62,62,260,Lentils ,Urad Dal ,https://en.wikipedia.org/wiki/Lentils 
63,63,264,Ginger-Green Chilli , ,https://en.wikipedia.org/wiki/Ginger-green chilli 
64,64,267,Curry ,Kadi Patta,https://en.wikipedia.org/wiki/Curry 
65,65,271,Toovar Dal ,Arhar,https://en.wikipedia.org/wiki/Toovar dal 
66,66,272,Bengal Gram ,Chana Dal ,https://en.wikipedia.org/wiki/Bengal gram 
67,67,276,Peppercorns ,Kalimirch,https://en.wikipedia.org/wiki/Peppercorns 
68,68,281,Coconut , ,https://en.wikipedia.org/wiki/Coconut 
69,69,283,Coconut Oil , ,https://en.wikipedia.org/wiki/Coconut oil 
70,70,284,Coconut Chutney , ,https://en.wikipedia.org/wiki/Coconut chutney 
71,71,292,Carrot , ,https://en.wikipedia.org/wiki/Carrot 
72,72,293,Cabbage , ,https://en.wikipedia.org/wiki/Cabbage 
73,73,300,Sugarcane , ,https://en.wikipedia.org/wiki/Sugarcane 
74,74,302,Lemon , ,https://en.wikipedia.org/wiki/Lemon 
75,75,304,Vanilla Ice-Cream , ,https://en.wikipedia.org/wiki/Vanilla ice-cream 
76,76,305,Coffee , ,https://en.wikipedia.org/wiki/Coffee 
77,77,306,Brandy , ,https://en.wikipedia.org/wiki/Brandy 
78,78,310,Melon ,Charmagaz,https://en.wikipedia.org/wiki/Melon 
79,79,311,Cashewnut ,Kaju,https://en.wikipedia.org/wiki/Cashewnut 
80,80,314,Milk , ,https://en.wikipedia.org/wiki/Milk 
81,81,315,Butter , ,https://en.wikipedia.org/wiki/Butter 
82,82,316,Pepper , ,https://en.wikipedia.org/wiki/Pepper 
83,83,341,Water , ,https://en.wikipedia.org/wiki/Water 
84,84,342,Wheat Flour ,Gehun Ka Atta,https://en.wikipedia.org/wiki/Wheat flour 
85,85,348,Curd , ,https://en.wikipedia.org/wiki/Curd 
86,86,349,Walnuts ,Akhrot,https://en.wikipedia.org/wiki/Walnuts 
87,87,353,Chocolate , ,https://en.wikipedia.org/wiki/Chocolate 
88,88,360,Pistachio , ,https://en.wikipedia.org/wiki/Pistachio 
89,89,371,Cowpea ,Chawli ,https://en.wikipedia.org/wiki/Cowpea 
90,90,382,Alfalfa , ,https://en.wikipedia.org/wiki/Alfalfa 
91,91,383,Wheat Bread , ,https://en.wikipedia.org/wiki/Wheat bread 
92,92,384,Capsicum , ,https://en.wikipedia.org/wiki/Capsicum 
93,93,387,Olive Oil , ,https://en.wikipedia.org/wiki/Olive oil 
94,94,389,Tomato , ,https://en.wikipedia.org/wiki/Tomato 
95,95,390,Olives , ,https://en.wikipedia.org/wiki/Olives 
96,96,391,Oregano , ,https://en.wikipedia.org/wiki/Oregano 
97,97,394,Cheese , ,https://en.wikipedia.org/wiki/Cheese 
98,98,395,Vinegar , ,https://en.wikipedia.org/wiki/Vinegar 
99,99,399,Mayonnaise , ,https://en.wikipedia.org/wiki/Mayonnaise 
100,100,400,Basil , ,https://en.wikipedia.org/wiki/Basil 
101,101,406,Lettuce , ,https://en.wikipedia.org/wiki/Lettuce 
102,102,408,Cress , ,https://en.wikipedia.org/wiki/Cress 
103,103,421,Orange , ,https://en.wikipedia.org/wiki/Orange 
104,104,422,Pineapple , ,https://en.wikipedia.org/wiki/Pineapple 
105,105,423,Lemonade , ,https://en.wikipedia.org/wiki/Lemonade 
106,106,425,Drumsticks , ,https://en.wikipedia.org/wiki/Drumsticks 
107,107,426,Baby Corn , ,https://en.wikipedia.org/wiki/Baby corn 
108,108,427,Yam ,Suran,https://en.wikipedia.org/wiki/Yam 
109,109,428,Almond Bread , ,https://en.wikipedia.org/wiki/Almond bread 
110,110,429,Avocado , ,https://en.wikipedia.org/wiki/Avocado 
111,111,438,Apples , ,https://en.wikipedia.org/wiki/Apples 
112,112,441,Orange Marmalade , ,https://en.wikipedia.org/wiki/Orange marmalade 
113,113,442,Biscuit , ,https://en.wikipedia.org/wiki/Biscuit 
114,114,445,Bananas , ,https://en.wikipedia.org/wiki/Bananas 
115,115,448,Vanilla , ,https://en.wikipedia.org/wiki/Vanilla 
116,116,453,Honey , ,https://en.wikipedia.org/wiki/Honey 
117,117,454,Vanilla Extract , ,https://en.wikipedia.org/wiki/Vanilla extract 
118,118,456,Pumpkin , ,https://en.wikipedia.org/wiki/Pumpkin 
119,119,457,Sunflower ,Surajmukhi Ke Beej,https://en.wikipedia.org/wiki/Sunflower 
120,120,458,Almond ,Badam,https://en.wikipedia.org/wiki/Almond 
121,121,459,Blueberries , ,https://en.wikipedia.org/wiki/Blueberries 
122,122,471,Bayleaf ,Tejpatta,https://en.wikipedia.org/wiki/Bayleaf 
123,123,475,Beans , ,https://en.wikipedia.org/wiki/Beans 
124,124,478,Biryani Masala , ,https://en.wikipedia.org/wiki/Biryani masala 
125,125,482,Cocoa , ,https://en.wikipedia.org/wiki/Cocoa 
126,126,485,Baking , ,https://en.wikipedia.org/wiki/Baking 
127,127,487,Castor Sugar , ,https://en.wikipedia.org/wiki/Castor sugar 
128,128,488,Eggs , ,https://en.wikipedia.org/wiki/Eggs 
129,129,506,Almond Milk , ,https://en.wikipedia.org/wiki/Almond milk 
130,130,507,Flaxseeds , ,https://en.wikipedia.org/wiki/Flaxseeds 
131,131,508,Apple Cider Vinegar , ,https://en.wikipedia.org/wiki/Apple cider vinegar 
132,132,513,Rolled Oats , ,https://en.wikipedia.org/wiki/Rolled oats 
133,133,518,Peanut Butter , ,https://en.wikipedia.org/wiki/Peanut butter 
134,134,519,Almond Butter Cookies , ,https://en.wikipedia.org/wiki/Almond butter cookies 
135,135,531,Flax ,Alsi,https://en.wikipedia.org/wiki/Flax 
136,136,534,Baking Soda , ,https://en.wikipedia.org/wiki/Baking soda 
137,137,536,Apple Cider , ,https://en.wikipedia.org/wiki/Apple cider 
138,138,539,Organic Honey , ,https://en.wikipedia.org/wiki/Organic honey 
139,139,542,Strawberries , ,https://en.wikipedia.org/wiki/Strawberries 
140,140,544,Lychees , ,https://en.wikipedia.org/wiki/Lychees 
141,141,546,Agar-Agar , ,https://en.wikipedia.org/wiki/Agar-agar 
142,142,559,Nutmeg ,Jaiphal,https://en.wikipedia.org/wiki/Nutmeg 
143,143,560,Saffron ,Kesar,https://en.wikipedia.org/wiki/Saffron 
144,144,574,Rolling Board , ,https://en.wikipedia.org/wiki/Rolling board 
145,145,575,Rolling Pin , ,https://en.wikipedia.org/wiki/Rolling pin 
146,146,576,Knife , ,https://en.wikipedia.org/wiki/Knife 
147,147,577,Vanilla Cake , ,https://en.wikipedia.org/wiki/Vanilla cake 
148,148,579,Butter Cream , ,https://en.wikipedia.org/wiki/Butter cream 
149,149,582,Pastry Comb , ,https://en.wikipedia.org/wiki/Pastry comb 
150,150,584,Praline , ,https://en.wikipedia.org/wiki/Praline 
151,151,586,Piping Bag , ,https://en.wikipedia.org/wiki/Piping bag 
152,152,587,Turntable , ,https://en.wikipedia.org/wiki/Turntable 
153,153,602,nan , ,https://en.wikipedia.org/wiki/Nan 
154,154,619,Sesame ,Kala Til,https://en.wikipedia.org/wiki/Sesame 
155,155,621,Jaggery ,Gur,https://en.wikipedia.org/wiki/Jaggery 
156,156,630,Kashmiri Chilli , ,https://en.wikipedia.org/wiki/Kashmiri chilli 
157,157,635,Corn ,Makai Ke Dane,https://en.wikipedia.org/wiki/Corn 
158,158,636,Bean , ,https://en.wikipedia.org/wiki/Bean 
159,159,638,Mushroom , ,https://en.wikipedia.org/wiki/Mushroom 
160,160,640,Pak Choi , ,https://en.wikipedia.org/wiki/Pak choi 
161,161,642,Vegetable , ,https://en.wikipedia.org/wiki/Vegetable 
162,162,644,Cornflour , ,https://en.wikipedia.org/wiki/Cornflour 
163,163,646,Wheat Noodles , ,https://en.wikipedia.org/wiki/Wheat noodles 
164,164,647,Potato , ,https://en.wikipedia.org/wiki/Potato 
165,165,658,Rajgira Flour , ,https://en.wikipedia.org/wiki/Rajgira flour 
166,166,680,Chutney , ,https://en.wikipedia.org/wiki/Chutney 
167,167,683,Tomato Ketchup , ,https://en.wikipedia.org/wiki/Tomato ketchup 
168,168,687,Bay Leaf ,Tejpatta,https://en.wikipedia.org/wiki/Bay leaf 
169,169,689,Clove ,Laung / Lavang,https://en.wikipedia.org/wiki/Clove 
170,170,706,Mint Chutney ,Phudina,https://en.wikipedia.org/wiki/Mint chutney 
171,171,707,Imli Chutney , ,https://en.wikipedia.org/wiki/Imli chutney 
172,172,713,Radish ,Mooli,https://en.wikipedia.org/wiki/Radish 
173,173,796,Baby Potatoes , ,https://en.wikipedia.org/wiki/Baby potatoes 
174,174,826,Garlic Chutney , ,https://en.wikipedia.org/wiki/Garlic chutney 
175,175,832,Chana Dal , ,https://en.wikipedia.org/wiki/Chana dal 
176,176,833,Sev , ,https://en.wikipedia.org/wiki/Sev 
177,177,835,Taco Shells , ,https://en.wikipedia.org/wiki/Taco shells 
178,178,853,Bread , ,https://en.wikipedia.org/wiki/Bread 
179,179,857,Chilli-Garlic Sauce , ,https://en.wikipedia.org/wiki/Chilli-garlic sauce 
180,180,899,Chillies Vinegar , ,https://en.wikipedia.org/wiki/Chillies vinegar 
181,181,913,Cauliflower , ,https://en.wikipedia.org/wiki/Cauliflower 
182,182,930,Bayleaves , ,https://en.wikipedia.org/wiki/Bayleaves 
183,183,934,Papad , ,https://en.wikipedia.org/wiki/Papad 
184,184,964,Pickle , ,https://en.wikipedia.org/wiki/Pickle 
185,185,990,Paratha , ,https://en.wikipedia.org/wiki/Paratha 
186,186,1042,Aniseeds ,Vilayati Saunf,https://en.wikipedia.org/wiki/Aniseeds 
187,187,1081,Yeast , ,https://en.wikipedia.org/wiki/Yeast 
188,188,1099,Sour Sauce , ,https://en.wikipedia.org/wiki/Sour sauce 
189,189,1124,Pomegranate ,Anardana,https://en.wikipedia.org/wiki/Pomegranate 
190,190,1173,Based , ,https://en.wikipedia.org/wiki/Based 
191,191,1176,Tofu ,Bean Curd/ Soya Paneer,https://en.wikipedia.org/wiki/Tofu 
192,192,1299,Spinach ,Palak,https://en.wikipedia.org/wiki/Spinach 
193,193,1484,Chilli Sauce , ,https://en.wikipedia.org/wiki/Chilli sauce 
194,194,1485,Burger Buns , ,https://en.wikipedia.org/wiki/Burger buns 
195,195,1535,Panch Phoron , ,https://en.wikipedia.org/wiki/Panch phoron 
196,196,1546,Tamarind ,Imli,https://en.wikipedia.org/wiki/Tamarind 
197,197,1549,Malabar Spinach , ,https://en.wikipedia.org/wiki/Malabar spinach 
198,198,1557,Soy Sauce , ,https://en.wikipedia.org/wiki/Soy sauce 
199,199,1564,Noodles , ,https://en.wikipedia.org/wiki/Noodles 
200,200,1569,Hakka Noodles , ,https://en.wikipedia.org/wiki/Hakka noodles 
201,201,1634,Soda Bi-Carb , ,https://en.wikipedia.org/wiki/Soda bi-carb 
202,202,1639,Garlic Cloves ,Lehsun,https://en.wikipedia.org/wiki/Garlic cloves 
203,203,1640,Lemons , ,https://en.wikipedia.org/wiki/Lemons 
204,204,1647,Semolina ,Rava,https://en.wikipedia.org/wiki/Semolina 
205,205,1648,Citric Acid ,Nimbu Ka Phool,https://en.wikipedia.org/wiki/Citric acid 
206,206,1652,Fruit Salt , ,https://en.wikipedia.org/wiki/Fruit salt 
207,207,1670,Khaman Dhoklas , ,https://en.wikipedia.org/wiki/Khaman dhoklas 
208,208,1681,Gooseberries ,Amlas ,https://en.wikipedia.org/wiki/Gooseberries 
209,209,1695,Star Anise ,Chakri Phool,https://en.wikipedia.org/wiki/Star anise 
210,210,1718,Peanuts , ,https://en.wikipedia.org/wiki/Peanuts 
211,211,1742,Mawa ,Khoya,https://en.wikipedia.org/wiki/Mawa 
212,212,1745,Pistachios , ,https://en.wikipedia.org/wiki/Pistachios 
213,213,1754,Bottle Gourd ,Doodhi / Lauki,https://en.wikipedia.org/wiki/Bottle gourd 
214,214,1767,Parathas , ,https://en.wikipedia.org/wiki/Parathas 
215,215,1781,Grapes , ,https://en.wikipedia.org/wiki/Grapes 
216,216,1787,Ash Gourd , ,https://en.wikipedia.org/wiki/Ash gourd 
217,217,1788,Slaked Lime , ,https://en.wikipedia.org/wiki/Slaked lime 
218,218,1793,Rasgullas , ,https://en.wikipedia.org/wiki/Rasgullas 
219,219,1800,Figs ,Anjeer,https://en.wikipedia.org/wiki/Figs 
220,220,1808,Mava ,Khoya,https://en.wikipedia.org/wiki/Mava 
221,221,1813,Nuts , ,https://en.wikipedia.org/wiki/Nuts 
222,222,1839,Biscuits ,,https://en.wikipedia.org/wiki/Biscuits 
223,223,1844,Papaya , ,https://en.wikipedia.org/wiki/Papaya 
224,224,1845,Banana , ,https://en.wikipedia.org/wiki/Banana 
225,225,1853,Watermelon ,Tarbuj,https://en.wikipedia.org/wiki/Watermelon 
226,226,1855,Dates ,Khajur,https://en.wikipedia.org/wiki/Dates 
227,227,1864,Beetroot , ,https://en.wikipedia.org/wiki/Beetroot 
228,228,1874,Feta Cheese , ,https://en.wikipedia.org/wiki/Feta cheese 
229,229,1884,Thyme , ,https://en.wikipedia.org/wiki/Thyme 
230,230,1892,Parsley , ,https://en.wikipedia.org/wiki/Parsley 
231,231,1897,Coconut Milk , ,https://en.wikipedia.org/wiki/Coconut milk 
232,232,1905,Vegetable Korma , ,https://en.wikipedia.org/wiki/Vegetable korma 
233,233,1907,Flattened Rice ,Poha ,https://en.wikipedia.org/wiki/Flattened rice 
234,234,1908,Yoghurt , ,https://en.wikipedia.org/wiki/Yoghurt 
235,235,1931,Apple , ,https://en.wikipedia.org/wiki/Apple 
236,236,1933,Celery , ,https://en.wikipedia.org/wiki/Celery 
237,237,1947,Steel Oats , ,https://en.wikipedia.org/wiki/Steel oats 
238,238,1948,Apple Sauce , ,https://en.wikipedia.org/wiki/Apple sauce 
239,239,1953,Buckwheat Flour ,Kuttu Or Kutti No Daro,https://en.wikipedia.org/wiki/Buckwheat flour 
240,240,1992,Muskmelon , ,https://en.wikipedia.org/wiki/Muskmelon 
241,241,1999,Raisins ,Kismis,https://en.wikipedia.org/wiki/Raisins 
