,0,1,2,3
0,4,Energy,95.0,cal
1,4,Protein,0.5,g
2,4,Carbohydrates,3.0,g
3,4,Fiber,1.0,g
4,4,Fat,9.1,g
5,4,Cholesterol,0.0,mg
6,4,Sodium,277.7,mg
7,5,Energy,95.0,cal
8,5,Protein,0.5,g
9,5,Carbohydrates,3.0,g
10,5,Fiber,1.0,g
11,5,Fat,9.1,g
12,5,Cholesterol,0.0,mg
13,5,Sodium,0.8,mg
14,6,Energy,380.0,cal
15,6,Protein,1.3,g
16,6,Carbohydrates,35.5,g
17,6,Fiber,1.5,g
18,6,Fat,25.8,g
19,6,Cholesterol,0.0,mg
20,6,Sodium,15557.8,mg
21,7,Energy,89.0,cal
22,7,Protein,0.2,g
23,7,Carbohydrates,22.4,g
24,7,Fiber,0.8,g
25,7,Fat,0.1,g
26,7,Cholesterol,0.0,mg
27,7,Sodium,0.9,mg
28,8,Energy,237.0,cal
29,8,Protein,5.8,g
30,8,Carbohydrates,27.3,g
31,8,Fiber,4.2,g
32,8,Fat,11.6,g
33,8,Cholesterol,0.0,mg
34,8,Vitamin A,1273.8,mcg
35,8,Vitamin B1,0.2,mg
36,8,Vitamin B2,0.1,mg
37,8,Vitamin B3,1.1,mg
38,8,Vitamin C,7.0,mg
39,8,Folic Acid,36.6,mcg
40,8,Calcium,20.3,mg
41,8,Iron,1.9,mg
42,8,Magnesium,0.0,mg
43,8,Phosphorus,0.0,mg
44,8,Sodium,28.9,mg
45,8,Potassium,268.4,mg
46,8,Zinc,0.6,mg
47,9,Energy,69.0,cal
48,9,Protein,0.3,g
49,9,Carbohydrates,15.2,g
50,9,Fiber,0.1,g
51,9,Fat,0.8,g
52,9,Cholesterol,0.0,mg
53,9,Sodium,85.7,mg
54,10,Energy,56.0,cal
55,10,Protein,0.1,g
56,10,Carbohydrates,7.5,g
57,10,Fiber,0.3,g
58,10,Fat,3.1,g
59,10,Cholesterol,0.0,mg
60,10,Sodium,0.3,mg
61,11,Energy,149.0,cal
62,11,Protein,2.4,g
63,11,Carbohydrates,24.4,g
64,11,Fiber,0.3,g
65,11,Fat,3.4,g
66,11,Cholesterol,8.0,mg
67,11,Sodium,18.6,mg
68,12,Energy,149.0,cal
69,12,Protein,2.4,g
70,12,Carbohydrates,24.4,g
71,12,Fiber,0.3,g
72,12,Fat,3.4,g
73,12,Cholesterol,8.0,mg
74,12,Sodium,18.6,mg
75,13,Energy,149.0,cal
76,13,Protein,2.4,g
77,13,Carbohydrates,24.4,g
78,13,Fiber,0.3,g
79,13,Fat,3.4,g
80,13,Cholesterol,8.0,mg
81,13,Sodium,18.6,mg
82,14,Energy,149.0,cal
83,14,Protein,2.4,g
84,14,Carbohydrates,24.4,g
85,14,Fiber,0.3,g
86,14,Fat,3.4,g
87,14,Cholesterol,8.0,mg
88,14,Sodium,18.6,mg
89,15,Energy,149.0,cal
90,15,Protein,2.4,g
91,15,Carbohydrates,24.4,g
92,15,Fiber,0.3,g
93,15,Fat,3.4,g
94,15,Cholesterol,8.0,mg
95,15,Sodium,18.6,mg
96,16,Energy,149.0,cal
97,16,Protein,2.4,g
98,16,Carbohydrates,24.4,g
99,16,Fiber,0.3,g
100,16,Fat,3.4,g
101,16,Cholesterol,8.0,mg
102,16,Sodium,18.6,mg
103,17,Energy,149.0,cal
104,17,Protein,2.4,g
105,17,Carbohydrates,24.4,g
106,17,Fiber,0.3,g
107,17,Fat,3.4,g
108,17,Cholesterol,8.0,mg
109,17,Sodium,18.6,mg
110,18,Energy,215.0,cal
111,18,Protein,3.1,g
112,18,Carbohydrates,6.0,g
113,18,Fiber,4.0,g
114,18,Fat,19.2,g
115,18,Cholesterol,6.0,mg
116,18,Sodium,18.0,mg
117,19,Energy,475.0,cal
118,19,Protein,6.1,g
119,19,Carbohydrates,66.9,g
120,19,Fiber,5.9,g
121,19,Fat,20.2,g
122,19,Cholesterol,0.0,mg
123,19,Sodium,7784.3,mg
124,20,Energy,381.0,cal
125,20,Protein,13.4,g
126,20,Carbohydrates,12.8,g
127,20,Fiber,0.2,g
128,20,Fat,29.0,g
129,20,Cholesterol,12.0,mg
130,20,Sodium,16.8,mg
131,21,Energy,381.0,cal
132,21,Protein,13.4,g
133,21,Carbohydrates,12.8,g
134,21,Fiber,0.2,g
135,21,Fat,29.0,g
136,21,Cholesterol,12.0,mg
137,21,Sodium,16.8,mg
138,22,Energy,32.0,cal
139,22,Protein,1.3,g
140,22,Carbohydrates,5.1,g
141,22,Fiber,0.5,g
142,22,Fat,0.7,g
143,22,Cholesterol,0.0,mg
144,22,Sodium,1.4,mg
145,23,Energy,114.0,cal
146,23,Protein,3.8,g
147,23,Carbohydrates,21.7,g
148,23,Fiber,1.8,g
149,23,Fat,1.4,g
150,23,Cholesterol,0.0,mg
151,23,Sodium,6.9,mg
152,24,Energy,73.0,cal
153,24,Protein,2.7,g
154,24,Carbohydrates,10.7,g
155,24,Fiber,1.7,g
156,24,Fat,2.2,g
157,24,Cholesterol,0.0,mg
158,24,Sodium,6.5,mg
159,25,Energy,115.0,cal
160,25,Protein,0.2,g
161,25,Carbohydrates,27.5,g
162,25,Fiber,0.0,g
163,25,Fat,0.4,g
164,25,Cholesterol,0.0,mg
165,25,Sodium,258.4,mg
166,27,Energy,219.0,cal
167,27,Protein,5.9,g
168,27,Carbohydrates,4.0,g
169,27,Fiber,0.1,g
170,27,Fat,19.9,g
171,27,Cholesterol,8.1,mg
172,27,Sodium,28.1,mg
173,28,Energy,234.0,cal
174,28,Protein,8.6,g
175,28,Carbohydrates,10.0,g
176,28,Fiber,0.0,g
177,28,Fat,13.0,g
178,28,Cholesterol,32.0,mg
179,28,Sodium,38.0,mg
180,31,Energy,0.0,cal
181,31,Protein,0.0,g
182,31,Carbohydrates,0.0,g
183,31,Fiber,0.0,g
184,31,Fat,0.0,g
185,31,Cholesterol,0.0,mg
186,31,Sodium,0.0,mg
187,32,Energy,178.0,cal
188,32,Protein,3.9,g
189,32,Carbohydrates,23.6,g
190,32,Fiber,4.0,g
191,32,Fat,8.1,g
192,32,Cholesterol,0.0,mg
193,32,Sodium,6.5,mg
194,33,Energy,178.0,cal
195,33,Protein,3.9,g
196,33,Carbohydrates,23.6,g
197,33,Fiber,4.0,g
198,33,Fat,8.1,g
199,33,Cholesterol,0.0,mg
200,33,Sodium,6.5,mg
201,34,Energy,178.0,cal
202,34,Protein,3.9,g
203,34,Carbohydrates,23.6,g
204,34,Fiber,4.0,g
205,34,Fat,8.1,g
206,34,Cholesterol,0.0,mg
207,34,Sodium,6.5,mg
208,35,Energy,208.0,cal
209,35,Protein,2.6,g
210,35,Carbohydrates,30.5,g
211,35,Fiber,2.5,g
212,35,Fat,8.0,g
213,35,Cholesterol,0.0,mg
214,35,Sodium,5.5,mg
215,36,Energy,54.0,cal
216,36,Protein,3.1,g
217,36,Carbohydrates,7.9,g
218,36,Fiber,2.0,g
219,36,Fat,1.2,g
220,36,Cholesterol,0.0,mg
221,36,Sodium,3.5,mg
222,37,Energy,130.0,cal
223,37,Protein,4.1,g
224,37,Carbohydrates,13.6,g
225,37,Fiber,6.0,g
226,37,Fat,6.6,g
227,37,Cholesterol,1.4,mg
228,37,Sodium,71.6,mg
229,38,Energy,130.0,cal
230,38,Protein,4.1,g
231,38,Carbohydrates,13.6,g
232,38,Fiber,6.0,g
233,38,Fat,6.6,g
234,38,Cholesterol,1.4,mg
235,38,Sodium,71.6,mg
236,39,Energy,130.0,cal
237,39,Protein,4.1,g
238,39,Carbohydrates,13.6,g
239,39,Fiber,6.0,g
240,39,Fat,6.6,g
241,39,Cholesterol,1.4,mg
242,39,Sodium,71.6,mg
243,40,Energy,218.0,cal
244,40,Protein,2.9,g
245,40,Carbohydrates,48.2,g
246,40,Fiber,8.3,g
247,40,Fat,1.4,g
248,40,Cholesterol,0.0,mg
249,40,Sodium,68.0,mg
250,42,Energy,190.0,cal
251,42,Protein,3.7,g
252,42,Carbohydrates,2.6,g
253,42,Fiber,1.2,g
254,42,Fat,18.4,g
255,42,Cholesterol,0.0,mg
256,42,Sodium,251.0,mg
257,44,Energy,227.0,cal
258,44,Protein,5.5,g
259,44,Carbohydrates,25.5,g
260,44,Fiber,1.0,g
261,44,Fat,9.7,g
262,44,Cholesterol,12.0,mg
263,44,Sodium,31.6,mg
264,45,Energy,388.0,cal
265,45,Protein,8.6,g
266,45,Carbohydrates,18.1,g
267,45,Fiber,2.8,g
268,45,Fat,32.3,g
269,45,Cholesterol,0.0,mg
270,45,Sodium,4.2,mg
271,46,Energy,169.0,cal
272,46,Protein,3.5,g
273,46,Carbohydrates,3.2,g
274,46,Fiber,2.0,g
275,46,Fat,16.5,g
276,46,Cholesterol,0.0,mg
277,46,Sodium,0.0,mg
278,47,Energy,266.0,cal
279,47,Protein,5.2,g
