recipe_id,name,description,cook_time_in_minutes,preparation_time_in_minutes,total_time_in_minutes,image_url,number_of_views
1,A Checkerboard Of Roses ( Flower Arrangements),"While at a party where the game of chess was the theme, our flower expert sonal panchmatia was inspired to create this checkerboard of roses. The arrangement is particularly aimed at embellishing a low dining0table sit-down. Complementing the roses in the arrangement is fresh, green asparagus and fragrant lemongrass. ",0,30,30,https://www.tarladalal.com/members/9306/big/big_a_checkerboard_of_roses_(_flower_arrangements)-4684.jpg?size=500X650,25558 times
2,A Truly Delectable Bunch ( Flower Arrangements),This festive season make an irresistible bouquet that’s good enough to eat!,0,30,30,https://www.tarladalal.com/members/9306/big/big_a_truly_delectable_bunch_(_flower_arrangements)-4891.jpg?size=500X650,10295 times
3,A-bun-dantly Creative ( Flower Arrangements),"A floral centerpiece always adds a touch of class to a formal sit-down dinner. If you're planning a party and are too busy cooking and cleaning, rope your children into making an unusual arrangement that combines the elegance of flowers with the versatility of bread. Sonal panchmatia shows how!",0,30,30,https://www.tarladalal.com/members/9306/big/big_a-bun-dantly_creative!-4706.jpg?size=500X650,9277 times
4,Aam aur Chane ka Achaar,"The summers in India are quite unbearable, but they have a saving grace - the mango season. Everyone looks forward to the yearly mango crop and housewives get busy blending the myriad spices needed for a whole year's supply of mango pickles.  As pickles are an essential feature of the Indian menu, new and more innovative varieties come up from time to time. This recipe is of a tongue tickling grated mango and chick pea pickle combined judiciously with whole and powdered spices. The chick peas in this recipe take on a sour salty flavour as they are soaked in raw mango juice. Like all oil pickles, this has a shelf life of upto one year but I am sure it will be eaten up much before that.",0,1440,30,https://www.tarladalal.com/members/9306/big/big_aam_aur_chane_ka_achaar-9138.jpg?size=696X905,85297 times
5,Aam Aur Chane ka Achaar (  Rajasthani),"Quick-fixes are there for every dish, from soups to pickles. However, the slow and steady method, although laborious, is often the tastiest. You will realise this truth when, after waiting for seven days, you first relish a spoonful of this delicious Aam aur Chane ka Achaar. A typical Rajasthani pickle of raw mangoes and white chick peas perked up with a large assortment of spices and preserved with mustard oil, this pickle has a wonderful mix of flavours ranging from sour to spicy. Remember to sterilize the jars before storing the pickle, so it will keep well for much longer.",4,10,14,https://www.tarladalal.com/members/9306/big/big_aam_aur_chane_ka_achaar_(__rajasthani)-11826.jpg?size=696X905,67220 times
6,"Aam ka Achaar, Mango Pickle, Punjabi Achar","During the mango season in the summer in Punjab, one can see at least two or three earthenware jars full of pickled raw mangoes maturing in the sun outside homes. This typical Punjabi recipe for making mango pickle is most popular in the region. The combination of fennel seeds, nigella seeds with mustard and other pickling spices is what distinguishes this mango pickle from its equally famous Gujarati counter part.Sun-dried mangoes used in this pickle impart a salty chewy character and also improve the shelf life of the pickle. This is a very simple recipe to follow. Just keep in mind the basics of pickle making a clean sterilized jar, see that there is no moisture and ensure that mustard oil forms a covering layer over the ingredients in the jar.",10,15,25,https://www.tarladalal.com/members/9306/big/big_aam_ka_achaar_(_punjabi_recipe_)-4670.jpg?size=500X650,134450 times
7,"Aam Ka Panna, How To Make Aam Panna","Aam Ka Panna, an innovative variant of the traditional kairi ka panha or kairi ka pani, this refreshing drink is the best way to beat the heat after a long day. You can make the syrup of cooked mangoes, sugar and mint in advance and store it. Combine the syrup and chilled water just before serving.Aam Ka Panna is a perfect party drink on hot days, serve with savory appetizers like Threaded Paneer Rolls , Mini Onion Samosa  , Cheesy Onion Fingers and Chatpata Kand .",10,10,20,https://www.tarladalal.com/members/9306/big/big_minty_mango_delight_(_party_drinks_)-9766.jpg?size=696X905,34958 times
8,"Aam Ke Pakode, Mango Bhajiya","You would have tried bhajiyas with all kinds of veggies ranging from onions to raw bananas, and you might even have tried making it with ripe yellow bananas. But, have you ever had a taste of Aam ke Pakode or Mango Bhajiyas? Well, this delightful seasonal treat is a must-try. Choose ripe and sweet Alphonso mangoes, cube them, dip them in a spicy batter and deep-fry till crisp, and voila, you have an absolutely awesome tea-time snack ready.",20,15,35,"https://www.tarladalal.com/members/9306/big/big_aam_ke_pakode,_mango_bhajiya-11507.jpg?size=696X905",29297 times
9,Aam ki Katki ka Muraba,"Murabba or ""morabba"" is an Arabic word meaning to preserve. This versatile murabba is made of finely chopped raw mangoes cooked in thick sugar syrup and spiced with sambhaar.  Chop the mango pieces evenly so that they cook well in the sugar syrup and also look attractive. Enjoy this pickle with hot rotis or a spicy vegetable.",45,15,35,https://www.tarladalal.com/members/9306/big/big_aam_ki_katki_ka_muraba-6113.jpg?size=500X650,39191 times
10,Aam ki Launji,"Quick and easy pickle that tickles your palate! Aam ki Launji is made by cooking mangoes with a readily available selection of spices and powders. No complex methods, tricky proportions or pickling time involved in making this, yet it stays fresh for almost four days in the refrigerator. This sweet and spicy Aam ki Launji can be served with parathas or rotis of your choice.",6,5,11,https://www.tarladalal.com/members/9306/big/big_aam_ki_launji-12225.jpg?size=696X905,124482 times
